Date,Ticker,Call Volume,Put Volume,P/C Ratio,Time
2025-05-20,IMMP,1,5,5,12:52:00
2025-05-20,GME,55477,14563,0.26,17:38:00
2025-05-20,TSLA,1052987,512242,0.49,17:38:00
2025-05-20,AMC,26870,1884,0.07,17:38:00
2025-05-20,AAPL,198770,92430,0.47,17:38:00
2025-05-20,NVDA,552178,336586,0.61,17:38:00
2025-05-20,BYSI,0,0,,17:38:00
2025-05-20,SLSR,1474,0,0,17:38:00
2025-05-20,STKS,83,263,3.17,17:38:00
2025-05-20,GAIN,5,3,0.6,17:38:00
2025-05-20,IMMP,2,1,0.5,17:38:00
2025-05-21,GME,37944,7779,0.21,12:01:00
2025-05-21,TSLA,284917,186954,0.66,12:01:00
2025-05-21,AMC,5707,2398,0.42,12:01:00
2025-05-21,AAPL,95366,70266,0.74,12:01:00
2025-05-21,NVDA,292421,156714,0.54,12:01:00
2025-05-21,BYSI,0,0,,12:01:00
2025-05-21,SLSR,1474,0,0,12:01:00
2025-05-21,STKS,81,698,8.62,12:01:00
2025-05-21,GAIN,5,4,0.8,12:01:00
2025-05-21,IMMP,2,1,0.5,12:01:00
2025-05-21,GME,63354,15879,0.25,14:23:00
2025-05-21,TSLA,503515,331930,0.66,14:23:00
2025-05-21,AMC,14180,5200,0.37,14:23:00
2025-05-21,AAPL,197664,160056,0.81,14:23:00
2025-05-21,NVDA,806568,470958,0.58,14:23:00
2025-05-21,BYSI,0,0,,14:23:00
2025-05-21,SLSR,1474,0,0,14:23:00
2025-05-21,STKS,81,702,8.67,14:23:00
2025-05-21,GAIN,5,4,0.8,14:23:00
2025-05-21,IMMP,2,1,0.5,14:23:00
2025-05-21,GME,80846,25807,0.32,23:30:00
2025-05-21,TSLA,702514,451790,0.64,23:30:00
2025-05-21,AMC,26829,5996,0.22,23:30:00
2025-05-21,AAPL,277292,223041,0.8,23:30:00
2025-05-21,NVDA,1116031,681398,0.61,23:30:00
2025-05-21,BYSI,0,0,,23:30:00
2025-05-21,SLSR,1474,0,0,23:30:00
2025-05-21,STKS,81,702,8.67,23:30:00
2025-05-21,GAIN,5,5,1,23:30:00
2025-05-21,IMMP,1,1,1,23:30:00
2025-05-22,GME,49804,13961,0.28,11:05:00
2025-05-22,TSLA,267105,164516,0.62,11:05:00
2025-05-22,AMC,18044,1450,0.08,11:05:00
2025-05-22,AAPL,86765,58248,0.67,11:05:00
2025-05-22,NVDA,302363,123974,0.41,11:05:00
2025-05-22,BYSI,0,0,,11:05:00
2025-05-22,SLSR,1474,0,0,11:05:00
2025-05-22,STKS,82,702,8.56,11:05:00
2025-05-22,GAIN,5,5,1,11:05:00
2025-05-22,IMMP,1,1,1,11:05:00
2025-05-22,GME,138307,54901,0.4,14:31:00
2025-05-22,TSLA,548490,391926,0.71,14:31:00
2025-05-22,AMC,58278,4975,0.09,14:31:00
2025-05-22,AAPL,188012,95031,0.51,14:31:00
2025-05-22,NVDA,616810,246037,0.4,14:31:00
2025-05-22,BYSI,0,0,,14:31:00
2025-05-22,SLSR,1474,0,0,14:31:00
2025-05-22,STKS,81,702,8.67,14:31:00
2025-05-22,GAIN,5,5,1,14:31:00
2025-05-22,IMMP,2,1,0.5,14:31:00
2025-05-22,GME,203552,76085,0.37,20:43:00
2025-05-22,TSLA,734238,542785,0.74,20:43:00
2025-05-22,AMC,81096,8484,0.1,20:43:00
2025-05-22,AAPL,254546,119428,0.47,20:43:00
2025-05-22,NVDA,787840,353982,0.45,20:43:00
2025-05-22,BYSI,0,0,,20:43:00
2025-05-22,SLSR,1474,0,0,20:43:00
2025-05-22,STKS,81,702,8.67,20:43:00
2025-05-22,GAIN,5,5,1,20:43:00
2025-05-22,IMMP,2,1,0.5,20:43:00
2025-05-23,GME,50372,15839,0.31,10:32:00
2025-05-23,TSLA,192858,142624,0.74,10:32:00
2025-05-23,AMC,14180,1826,0.13,10:32:00
2025-05-23,AAPL,66422,132963,2,10:32:00
2025-05-23,NVDA,250769,108824,0.43,10:32:00
2025-05-23,BYSI,0,0,,10:32:00
2025-05-23,SLSR,1474,0,0,10:32:00
2025-05-23,STKS,81,702,8.67,10:32:00
2025-05-23,GAIN,5,5,1,10:32:00
2025-05-23,IMMP,2,1,0.5,10:32:00
2025-05-23,GME,202568,67494,0.33,14:54:00
2025-05-23,TSLA,811428,537558,0.66,14:54:00
2025-05-23,AMC,33026,3302,0.1,14:54:00
2025-05-23,AAPL,196882,328678,1.67,14:54:00
2025-05-23,NVDA,851127,448638,0.53,14:54:00
2025-05-23,BYSI,0,0,,14:54:00
2025-05-23,SLSR,1474,0,0,14:54:00
2025-05-23,STKS,81,702,8.67,14:54:00
2025-05-23,GAIN,5,5,1,14:54:00
2025-05-23,IMMP,1,1,1,14:54:00
2025-05-23,GME,301945,38658,0.13,21:07:00
2025-05-23,TSLA,344604,358177,1.04,21:07:00
2025-05-23,AMC,39906,11287,0.28,21:07:00
2025-05-23,AAPL,176479,199425,1.13,21:07:00
2025-05-23,NVDA,564449,257652,0.46,21:07:00
2025-05-23,BYSI,0,0,,21:07:00
2025-05-23,SLSR,1474,0,0,21:07:00
2025-05-23,STKS,81,702,8.67,21:07:00
2025-05-23,GAIN,1,5,5,21:07:00
2025-05-23,IMMP,1,1,1,21:07:00
2025-05-27,GME,46151,11347,0.25,10:15:00
2025-05-27,TSLA,177223,105533,0.6,10:15:00
2025-05-27,AMC,34469,2436,0.07,10:15:00
2025-05-27,AAPL,32840,27493,0.84,10:15:00
2025-05-27,NVDA,91330,50315,0.55,10:15:00
2025-05-27,BYSI,0,0,,10:15:00
2025-05-27,SLSR,1474,0,0,10:15:00
2025-05-27,STKS,81,702,8.67,10:15:00
2025-05-27,GAIN,2,5,2.5,10:15:00
2025-05-27,IMMP,1,1,1,10:15:00
2025-05-27,GME,224235,48171,0.21,12:45:00
2025-05-27,TSLA,526224,282667,0.54,12:45:00
2025-05-27,AMC,155160,24239,0.16,12:45:00
2025-05-27,AAPL,151340,95029,0.63,12:45:00
2025-05-27,NVDA,370110,197405,0.53,12:45:00
2025-05-27,BYSI,0,0,,12:45:00
2025-05-27,SLSR,1474,0,0,12:45:00
2025-05-27,STKS,81,702,8.67,12:45:00
2025-05-27,GAIN,2,5,2.5,12:45:00
2025-05-27,IMMP,8,1,0.12,12:45:00
2025-05-27,GME,295518,84224,0.29,23:11:00
2025-05-27,TSLA,853710,555126,0.65,23:11:00
2025-05-27,AMC,234084,37896,0.16,23:11:00
2025-05-27,AAPL,224546,133964,0.6,23:11:00
2025-05-27,NVDA,585153,335676,0.57,23:11:00
2025-05-27,BYSI,0,0,,23:11:00
2025-05-27,SLSR,1474,0,0,23:11:00
2025-05-27,STKS,81,702,8.67,23:11:00
2025-05-27,GAIN,2,5,2.5,23:11:00
2025-05-27,IMMP,8,1,0.12,23:11:00
2025-05-28,GME,117977,58879,0.5,11:48:00
2025-05-28,TSLA,296384,168226,0.57,11:48:00
2025-05-28,AMC,57073,27416,0.48,11:48:00
2025-05-28,AAPL,103144,51890,0.5,11:48:00
2025-05-28,NVDA,339428,153442,0.45,11:48:00
2025-05-28,BYSI,202,0,0,11:48:00
2025-05-28,SLSR,1474,0,0,11:48:00
2025-05-28,STKS,81,702,8.67,11:48:00
